-1	-1	-1	-1	3718	-1	100	100	100	100	0	100
1107	-1	-1	-1	3718	-1	0	100	100	100	1	100
1109	-1	-1	-1	3721	-1	0	100	100	100	1	100
1110	-1	-1	-1	3721	-1	0	100	100	100	2	100
1110	-1	-1	3609	3726	-1	3	100	100	2	0	100
1106	-1	-1	3609	3726	-1	0	100	100	3	1	100
1108	-1	-1	3609	3726	-1	0	100	100	4	2	100
1105	-1	-1	3614	3726	-1	0	100	100	1	4	100
1109	-1	-1	3614	3726	-1	0	100	100	2	5	100
1103	-1	-1	3614	3726	-1	0	100	100	3	6	100
1104	-1	-1	3610	3719	-1	0	100	100	2	1	100
1102	-1	2003	3610	3721	-1	0	100	2	5	1	100
1109	-1	2003	3610	3723	-1	0	100	4	7	1	100
1106	-1	2003	3610	3723	-1	0	100	5	8	2	100
1098	-1	2003	3610	3721	-1	0	100	7	10	1	100
1101	-1	2003	3610	3721	-1	0	100	8	11	2	100
1101	-1	2003	3610	3694	-1	0	100	10	13	1	100
1103	-1	2003	3610	3720	-1	0	100	12	15	1	100
1106	-1	2003	3610	3720	-1	0	100	13	16	2	100
1107	-1	2003	3610	3720	-1	0	100	14	17	3	100
1103	-1	2003	3610	3717	-1	0	100	16	19	1	100
1103	-1	2003	3610	3717	-1	0	100	17	20	2	100
1105	-1	2003	3605	3717	-1	0	100	19	1	4	100
1110	-1	2003	3605	3717	-1	0	100	20	2	5	100
1105	-1	1998	3605	3723	-1	0	100	2	5	1	100
1105	-1	1998	3620	3723	-1	3	100	5	2	0	100
1105	-1	1998	3602	3723	-1	4	100	6	0	1	100
1109	-1	1998	3602	3721	-1	0	100	8	2	1	100
1105	-1	1998	3602	3721	-1	0	100	9	3	2	100
1111	-1	1998	3602	3722	-1	0	100	11	5	1	100
1105	-1	1998	3602	3722	-1	0	100	12	6	2	100
1103	-1	1998	3599	3719	-1	0	100	15	2	1	100
1103	-1	1998	3599	3718	-1	2	100	17	4	0	100
1105	-1	1998	3599	3718	-1	0	100	18	5	1	100
1106	-1	1998	3599	3485	-1	0	100	20	7	1	100
1105	-1	1998	3614	3485	-1	0	100	22	1	3	100
1105	-1	1998	3613	3485	-1	2	100	24	0	5	100
1107	-1	1998	3613	3485	-1	0	100	25	1	6	100
1106	-1	1998	3611	3485	-1	0	100	27	1	8	100
1107	-1	1998	3611	3724	-1	0	100	29	3	1	100
